session_id,session_duration,pages_visited,avg_time_per_page,mouse_distance_avg,mouse_avg_speed,mouse_max_speed,mouse_idle_time,mouse_sharp_turns,mouse_straight_movements,avg_scroll_depth,avg_scroll_speed,total_scrolls,total_clicks,avg_time_between_clicks,avg_typing_speed,avg_shortcut_use,label
75340848-8f90-49b0-9301-2a938e8bba73,6.0,1.0,6.0,2559.510009765625,1282.6905517578125,3023.243408203125,0.0,94.0,6.0,46.0,63.38028335571289,46.0,0.0,,0.0,0.0,1
7548297f-3942-45f2-9a9b-1a1ea0cc4655,10.0,1.0,10.0,3219.515869140625,643.585693359375,4716.99072265625,0.0,299.0,48.0,15205.0,14637.205625000024,41.0,0.0,,0.0,0.0,1
7607737b-bb9d-486d-b788-030a2688db52,9.0,1.0,8.0,6796.0458984375,1362.6402587890625,4076.689697265625,0.0,288.0,35.0,486.0,212.77532958984372,147.0,0.0,,0.0,0.0,1
7628416f-e0df-4389-aa46-4c74e84b6788,13.0,1.0,12.0,499.88031005859375,788.6212158203125,1513.2745361328125,0.0,31.0,6.0,3433.0,798.9714965820312,276.0,0.0,,0.0,0.0,1
76871f7c-3eda-4f50-95fc-a82c4359905f,8.0,1.0,8.0,5316.34326171875,1251.2789306640625,2915.475830078125,0.0,259.0,29.0,216.0,275.3246765136719,51.0,0.0,,0.0,0.0,1
76dd4106-611b-4f07-aa24-5121d4068481,11.0,1.0,11.0,2950.922119140625,744.0083618164062,2941.088134765625,0.0,239.0,28.0,568.0,109.54132080078124,331.0,0.0,,0.0,0.0,1
76efce47-2454-45da-9284-d3311ee9aa30,6.0,1.0,6.0,579.0936279296875,1650.4129638671875,3006.6591796875,0.0,18.0,5.0,344.0,72.8547134399414,304.0,0.0,,0.0,0.0,1
779b0f89-e26c-481f-bbb1-9745d52b75bc,14.0,1.0,13.0,728.4423217773438,957.0299072265624,2000.0,0.0,42.0,3.0,16234.0,3586.687255859375,288.0,0.0,,0.0,0.0,1
779c6207-d5c2-4090-8e20-b38973565d38,13.0,1.0,13.0,3843.8203125,1046.1513671875,2477.67822265625,0.0,215.0,20.0,4910.0,1601.5701904296875,193.0,0.0,,0.0,0.0,1
788b1436-5b5c-4b3a-bb9c-67e5d525f7fa,16.0,1.0,15.0,1902.44189453125,1381.4581298828125,3333.333251953125,0.0,64.0,9.0,8259.0,2714.52099609375,193.0,0.0,,0.0,0.0,1
7900617c-b525-4de9-924d-5e207093a15f,5.0,1.0,5.0,78.66658020019531,1363.57666015625,2189.508056640625,0.0,1.0,0.0,4999.0,6489.58349609375,47.0,0.0,,0.0,0.0,1
7916a74a-0ad4-48b7-bf43-338584fee333,8.0,1.0,8.0,54.230987548828125,1807.6995849609373,1807.6995849609373,0.0,0.0,1.0,14435.0,3745.71435546875,245.0,0.0,,0.0,0.0,1
79dc0613-100c-412a-9884-3fab4f696b43,16.0,1.0,15.0,8871.1455078125,1177.7701416015625,14142.1357421875,0.0,457.0,68.0,4395.0,1357.054443359375,203.0,0.0,,0.0,0.0,1
